bias,Flan-T5,OLMo-Flan-Seed-0,OLMo-Flan-Seed-1,OLMo-Flan-Seed-2,OLMo-SFT,OLMo-Tulu-Seed-0,OLMo-Tulu-Seed-1,OLMo-Tulu-Seed-2,T5-Flan-Seed-0,T5-Flan-Seed-1,T5-Flan-Seed-2,T5-Tulu-Seed-0,T5-Tulu-Seed-1,T5-Tulu-Seed-2
Planning Fallacy,-0.061418437,0.16165411,-0.022467463,-0.021567041,0.07086107,0.0901465,0.086180963,-0.161827203,0.196872391,-0.094543228,-0.01008862,-0.003247203,0.078047128,-0.030475791
Reactance,-0.033266667,0.0806,-0.0577,-0.009722222,-0.039028753,-0.01110713,-0.012846031,-0.0976435,0.069541779,0.093491645,0.194307771,-0.0241,0.040099603,0.1649
Risk Compensation,0.190778968,-0.079408333,-0.060540873,-0.040480555,-0.030911074,0.01576087,0.026883492,-0.003094855,-0.111700592,0.100075225,0.068078174,0.007,-0.164263222,-0.073223413
Self-Serving Bias,0.018,0.1108,0.0494,0.159366666,0.205059064,0.056,0.001,0.217999999,0.033833333,0.144833333,0.295999999,0.009219858,0.124166666,0.046445339
Social Desirability Bias,-0.003366667,0.081,0.0152,0.060866667,-0.076957494,-0.0126,-0.0033,0.017430414,-0.001707578,-0.105932202,0.011433333,9.46E-05,0.020066667,0.063
Status-Quo Bias,0.861399998,0.0204,0.033166667,-0.024266666,-0.037444579,-0.528666666,-0.439999999,0.273933333,-0.009881557,0.050351759,0.517492415,0.043049933,-0.035279805,-0.055783333
Stereotyping,0.129033333,0.006089423,-0.0045,0.043653975,-0.102409638,0.023,-0.0115,0.001921733,-0.227316735,0.021576486,0.029266666,-0.0045,0.006830601,-0.044357832
Survivorship Bias,0.120083333,0,0,0.011,0.150105262,0.011,0,0.138499999,0.094472362,0.006,-0.001,0.0025,-0.009238729,0.020912547
Certainty,0.17,0,-0.06,-0.15,-0.13,-0.15,-0.02,0.16,0.25,-0.01,0.11,-0.07,0.12,0.16
Belief Valid,0.5,-0.31,-0.31,-0.06,-0.32,-0.14,-0.26,-0.2,0.09,0.11,0.11,0.09,0.1,0.06
MMLU,0.546,0.469,0.465,0.475,0.473,0.454,0.459,0.454,0.506,0.508,0.51,0.484,0.46,0.468
